TL Name,TL Reference,Monitored Object Name,Monitored Object Reference,Monitored Object Last Sample,Object Name Similarity %,TL Polling Frequency,Monitored Object Unit
HS_RM5201H_SUP_FLOW_SETPOINT_AV_TL,5606.490626.TL14,HS_RM5201H_SUP_FLOW_SETPOINT_AV,490626.AV9.Present_Value,2020-06-02 14:32:13,91.0,30000,L/s
HS_RM5201H_SUPPLY_CALCULATED_AV_TL,5606.490626.TL15,HS_RM5201H_SUPPLY_CALCULATED_AV,490626.AV30.Present_Value,2020-06-02 14:32:10,91.0,30000,L/s
HS_RM5201H_EXHAUST_CALCULATED_AV_TL,5606.490626.TL16,HS_RM5201H_EXHAUST_CALCULATED_AV,490626.AV31.Present_Value,2020-06-02 14:32:11,91.0,30000,L/s
HS_RM5201H_SAT_SP_TL,5606.490626.TL17,HS_RM5201H_SAT_SP,490626.AV32.Present_Value,2020-06-02 14:32:12,85.0,30000,°C
HS_RM5201H_TOTAL_OFFSET_CALCULATED_AV_TL,5606.490626.TL18,HS_RM5201H_TOTAL_OFFSET_CALCULATED_AV,490626.AV36.Present_Value,2020-06-02 14:32:14,93.0,30000,L/s
HS_RM5201H_RMT_HEATING_CO_TL,5606.490626.TL19,HS_RM5201H_RMT_HEATING_CO,490626.CO1.Present_Value,2020-06-02 14:32:34,89.0,500,Units not found
HS_RM5201H_SAV_SAT_CO_TL,5606.490626.TL20,HS_RM5201H_SAV_SAT_CO,490626.CO2.Present_Value,2020-06-02 14:32:36,88.0,500,Units not found
HS_RM5201J_SAV_MOD_TL,5606.490627.TL1,HS_RM5201J_SAV_MOD,490627.AO4.Present_Value,2020-06-02 14:33:29,86.0,30000,%
HS_RM5201J_SAV_RHC_MOD_TL,5606.490627.TL2,HS_RM5201J_SAV_RHC_MOD,490627.AO5.Present_Value,2020-06-02 14:33:30,88.0,30000,%
HS_RM5201J_EAV_MOD_TL,5606.490627.TL3,HS_RM5201J_EAV_MOD,490627.AO6.Present_Value,2020-06-02 14:33:31,86.0,30000,%
HS_RM5201J_SAV_DP_TL,5606.490627.TL4,HS_RM5201J_SAV_DP,490627.AI1.Present_Value,2020-06-02 14:33:32,85.0,30000,Pa
HS_RM5201J_SAV_FBK_TL,5606.490627.TL5,HS_RM5201J_SAV_FBK,490627.AI2.Present_Value,2020-06-02 14:33:25,86.0,30000,L/s
HS_RM5201J_EAV_DP_TL,5606.490627.TL6,HS_RM5201J_EAV_DP,490627.AI3.Present_Value,2020-06-02 14:33:26,85.0,30000,Pa
HS_RM5201J_EAV_FBK_TL,5606.490627.TL7,HS_RM5201J_EAV_FBK,490627.AI4.Present_Value,2020-06-02 14:33:27,86.0,30000,L/s
HS_RM5201J_RMDP_TL,5606.490627.TL8,HS_RM5201J_RMDP,490627.AI5.Present_Value,2020-06-02 14:33:28,83.0,30000,Pa
HS_RM5201J_SAT_TL,5606.490627.TL9,HS_RM5201J_SAT,490627.AI6.Present_Value,2020-06-02 14:33:30,82.0,30000,°C
HS_RM5201J_RMT_TL,5606.490627.TL10,HS_RM5201J_RMT,490627.AI101.Present_Value,2020-06-02 14:33:31,82.0,30000,°C
HS_RM5201J_RMT_SP_TL,5606.490627.TL11,HS_RM5201J_RMT_SP,490627.AV1.Present_Value,2020-06-02 14:33:28,85.0,30000,°C
HS_RM5201J_EXH_FLOW_SP_OCC_MIN_AV_TL,5606.490627.TL12,HS_RM5201J_EXH_FLOW_SP_OCC_MIN_AV,490627.AV3.Present_Value,2020-06-02 14:33:30,92.0,1000,L/s
HS_RM5201J_EXH_FLOW_SP_OCC_MAX_AV_TL,5606.490627.TL13,HS_RM5201J_EXH_FLOW_SP_OCC_MAX_AV,490627.AV4.Present_Value,2020-06-02 14:33:31,92.0,1000,L/s
